Accession,Gene Symbol
Q96CU9,FOXRED1
Q96DY2,IQCD
Q96FF9,CDCA5
Q96FS4,SIPA1
Q96LW1,ZNF354B
Q96MC6,MFSD14A
Q96QB1,DLC1
Q99661,KIF2C
Q9BQE5,APOL2
Q9BX63,BRIP1
Q9BXJ7,AMN
Q9BYW1,SLC2A11
Q9C0C4,SEMA4C
Q9C0H2,TTYH3
Q9GZM8,NDEL1
Q9H0R6,QRSL1
Q9H239,MMP28
Q9H2J1,ARRDC1-AS1
Q9H9K5,ERVMER34-1
Q9HD45,TM9SF3
Q9NRG0,CHRAC1
Q9NWW5,CLN6
Q9NXU5,ARL15
Q9NZD8,SPG21
Q9NZU0,FLRT3
Q9UHM6,OPN4
Q9UHR6,ZNHIT2
Q9UJX3,ANAPC7
Q9UKG9,CROT
Q9UL58,ZNF215
Q9ULI2,RIMKLB
Q9Y281,CFL2
Q9Y2G0,EFR3B
Q9Y2Q0,ATP8A1
Q9Y4Z0,LSM4
A0A0K0K1C0,TRBV11-1
A0A1B0GTH9,ZNF475
A0A804HLA8,GNG5B
A6NDD5,SYNDIG1L
A6NFF2,NAP1L6P
A6NK02,TRIM75
A6NLI5,TRIM64C
O00124,UBXN8
O14497,ARID1A
O14558,HSPB6
O43490,PROM1
O43707,ACTN4
O60271,SPAG9
O60422,ONECUT3
O60469,DSCAM
O95376,ARIH2
O95727,CRTAM
O95841,ANGPTL1
P01225,FSHB
P05089,ARG1
P08236,GUSB
P09067,HOXB5
P0CV99,TSPY4
P0DJD3,RBMY1A1
P14324,FDPS
P16152,CBR1
P23109,AMPD1
P25391,LAMA1
P31997,CEACAM8
P35052,GPC1
P41217,CD200
P47901,AVPR1B
P49585,PCYT1A
P53370,NUDT6
P54840,GYS2
P55145,MANF
P57052,RBM11
P58511,SMIM11
P63173,RPL38
P78563,ADARB1
Q08722,CD47
Q12797,ASPH
Q13291,SLAMF1
Q14952,KIR2DS3
Q15007,WTAP
Q3SYG4,BBS9
Q4W5P6,SMIM43
Q53R41,FASTKD1
Q5JU69,TOR2A
Q5T0B9,ZNF362
Q5T3J3,LRIF1
Q5TFE4,NT5DC1
Q5W186,CST9
Q6B9Z1,IGFL4
Q6DT37,CDC42BPG
Q6UXS9,CASP12
Q6UXY8,TMC5
Q7Z739,YTHDF3
Q86VW0,SESTD1
Q8IV45,UNC5CL
Q8IZD0,SAMD14
Q8IZU0,FAM9B
Q8N4C6,NIN
Q8N9V3,WDSUB1
Q8NGM1,OR4C15
Q8NH00,OR2T4
Q8TF40,FNIP1
Q8WUJ0,STYX
Q96AT1,KIAA1143
Q96M60,FAM227B
Q96MR6,CFAP57
Q96N20,ZNF75A
Q96SJ8,TSPAN18
Q99445,GML
Q99941,ATF6B
Q9BRR9,ARHGAP9
Q9BWX5,GATA5
Q9BYV8,CEP41
Q9H228,S1PR5
Q9H4I2,ZHX3
Q9H8U3,ZFAND3
Q9HCK0,ZBTB26
Q9HCS4,TCF7L1
Q9NP74,PALMD
Q9NPA1,KCNMB3
Q9NPJ3,ACOT13
Q9NQ40,SLC52A3
Q9NZP5,OR5AC2
Q9NZU1,FLRT1
Q9UBP9,GULP1
Q9UPU9,SAMD4A
Q9UQP3,TNN
Q9UQR0,SCML2
Q9Y5G4,PCDHGA9
Q9Y651,SOX21
W5XKT8,SPACA6
A0A075B6H7,IGKV3-7
A0A0J9YXY3,TRBV6-2
A0A1B0GTD5,SPMIP11
A2VEC9,SSPOP
A6NMN3,FAM170B
A6NN14,ZNF729
A7MD48,SRRM4
D6RJB6,USP17L20
O14609,XKRY
O15234,CASC3
O15525,MAFG
O75153,CLUH
O76083,PDE9A
O76095,JTB
O94868,FCHSD2
O95178,NDUFB2
O95571,ETHE1
O95954,FTCD
P05013,IFNA6
P06737,PYGL
P11047,LAMC1
P24387,CRHBP
P28799,GRN
P30044,PRDX5
P32239,CCKBR
P46976,GYG1
P50895,BCAM
P54753,EPHB3
P61244,MAX
P62491,RAB11A
P63220,RPS21
P78549,NTHL1
Q00325,SLC25A3
Q00872,MYBPC1
Q02156,PRKCE
Q05048,CSTF1
Q08752,PPID
Q0ZGT2,NEXN
Q13454,TUSC3
Q14507,EDDM3A
Q3SXY7,LRIT3
Q49A92,C8orf34
Q53RE8,ANKRD39
Q5JRK9,PAGE2B
Q5MNZ6,WDR45B
Q6NXP6,NOXRED1
Q6P996,PDXDC1
Q6UXU4,GSG1L
Q6ZMV5,PPP4R3C
Q6ZNR0,TMEM91
Q6ZU64,CFAP65
Q6ZUA9,MROH5
Q7RTS9,DYM
Q7RTT9,SLC29A4
Q7Z3F1,GPR155
Q7Z3V4,UBE3B
Q7Z404,TMC4
Q7Z4S6,KIF21A
Q7Z6J8,UBE3D
Q7Z6L0,PRRT2
Q86SY8,KTN1-AS1
Q86V71,ZNF429
Q8N2W9,PIAS4
Q8N3X1,FNBP4
Q8N6U2,LINC00612
Q8N7C7,RNF148
Q8N8I6,LINC00482
Q8N8Z6,DCBLD1
Q8NBC4,C20orf203
Q8NBT0,POC1A
Q8ND61,C3orf20
Q8NFJ8,BHLHE22
Q8TC76,FAM110B
Q8TDQ1,CD300LF
Q8WUX2,CHAC2
Q8WXF3,RLN3
Q8WY36,BBX
Q8WZ73,RFFL
Q92636,NSMAF
Q96JJ7,TMX3
Q96K17,BTF3L4
Q96NL0,RUNDC3B
Q96ST3,SIN3A
Q99259,GAD1
Q99933,BAG1
Q9BRS8,LARP6
Q9H9S3,SEC61A2
Q9NVA2,SEPTIN11
Q9NVR2,INTS10
Q9UBI6,GNG12
Q9UEW3,MARCO
Q9UKK3,PARP4
Q9UN70,PCDHGC3
Q9UP79,ADAMTS8
Q9Y232,CDYL
Q9Y2I1,NISCH
Q9Y2Q1,ZNF257
Q9Y691,KCNMB2
Q9Y6Y9,LY96
A0A087WT02,TRAV9-2
A0A0B4J1Y8,IGLV9-49
A0A0U1RRN3,MISFA
A0A286YFB4,SCYGR2
A2A3K4,PTPDC1
A4IF30,SLC35F4
A6NJQ4,FAM90A8
A6NKU9,SPDYE3
A8MYU2,KCNU1
A8MZ26,EFCAB9
E9PI22,PRR23D1
O14494,PLPP1
O14757,CHEK1
O43151,TET3
O43679,LDB2
O60229,KALRN
O60268,KIAA0513
O60494,CUBN
O60711,LPXN
O75603,GCM2
O94941,UBOX5
P01701,IGLV1-51
P0CG32,ZCCHC18
P11488,GNAT1
P11940,PABPC1
P14550,AKR1A1
P15531,NME1
P19320,VCAM1
P22894,MMP8
P27169,PON1
P27987,ITPKB
P42229,STAT5A
P46098,HTR3A
P47224,RABIF
P55072,VCP
P61254,RPL26
P62745,RHOB
Q00169,PITPNA
Q0VAA2,LRRC74A
Q12955,ANK3
Q13177,PAK2
Q14807,KIF22
Q15389,ANGPT1
Q15726,KISS1
Q15942,ZYX
Q3SY46,KRTAP13-3
Q5HYW2,NHSL2
Q5JTZ9,AARS2
Q5T751,LCE1C
Q5TZF3,ANKRD45
Q5U651,RASIP1
Q6AI14,SLC9A4
Q6ZN55,ZNF574
Q7Z4W3,KRTAP19-3
Q86SQ6,ADGRA1
Q86UA6,RPAIN
Q86VL8,SLC47A2
Q8IYN6,UBALD2
Q8IYX7,SAXO1
Q8IZP9,ADGRG2
Q8N9Y4,FAM181A
Q8NA58,PNLDC1
Q8NGF7,OR5B17
Q8NGM8,OR6M1
Q8NGQ1,OR9G4
Q8NGQ6,OR9I1
Q8WUM0,NUP133
Q8WWB3,DYDC1
Q8WWQ2,HPSE2
Q8WXQ8,CPA5
Q8WYQ3,CHCHD10
Q92187,ST8SIA4
Q92748,THRSP
Q969R8,ITFG2
Q96A04,TSACC
Q96A47,ISL2
Q96AX2,RAB37
Q96HF1,SFRP2
Q96PM5,RCHY1
Q99595,TIMM17A
Q9BQS2,SYT15
Q9BUL9,RPP25
Q9C0A6,SETD5
Q9GZP8,IMUP
Q9H0A6,RNF32
Q9H0F7,ARL6
Q9H257,CARD9
Q9H444,CHMP4B
Q9H4F8,SMOC1
Q9H628,RERGL
Q9HAW9,UGT1A8
Q9HCU0,CD248
Q9NYN1,RASL12
Q9UHP7,CLEC2D
Q9UK55,SERPINA10
Q9Y262,EIF3L
Q9Y2J0,RPH3A
Q9Y2Q5,LAMTOR2
A0A0B4J240,TRAV10
A6NC98,CCDC88B
A6NJI1,C11orf86
A6NLJ0,C2CD4B
A6NM66,LINC01548
A8MZ36,EVPLL
C0HLV8,MLDHR
O15315,RAD51B
O15488,GYG2
O43147,SGSM2
O43312,MTSS1
O43741,PRKAB2
O60921,HUS1
O75506,HSBP1
O94826,TOMM70
O94829,IPO13
O95084,PRSS23
O95237,LRAT
O95990,FAM107A
P00973,OAS1
P01742,IGHV1-69
P05181,CYP2E1
P07954,FH
P11387,TOP1
P16452,EPB42
P19075,TSPAN8
P20265,POU3F2
P21912,SDHB
P27815,PDE4A
P45954,ACADSB
P46527,CDKN1B
P51511,MMP15
P60604,UBE2G2
P62495,ETF1
P98082,DAB2
Q13562,NEUROD1
Q15543,TAF13
Q2PPJ7,RALGAPA2
Q32M92,C15orf32
Q53F39,MPPE1
Q5TCQ9,MAGI3
Q5VWI1,TCERG1L
Q5VYV0,FOXB2
Q6AI39,BICRAL
Q6IN85,PPP4R3A
Q6UWF7,NXPE4
Q6WKZ4,RAB11FIP1
Q6YHK3,CD109
Q6ZVN7,SEM1
Q7Z5A4,PRSS42P
Q7Z699,SPRED1
Q7Z6M3,MILR1
Q86UE4,MTDH
Q86XP6,GKN2
Q8IUW3,SPATA2L
Q8IVH4,MMAA
Q8IXT1,DDIAS
Q8IY31,IFT20
Q8IZ83,ALDH16A1
Q8N883,ZNF614
Q8NGU2,OR9A4
Q8TAE6,PPP1R14C
Q8TBH0,ARRDC2
Q8WU10,PYROXD1
Q8WXX7,AUTS2
Q92539,LPIN2
Q96AM1,MRGPRF
Q96CQ1,SLC25A36
Q96DT6,ATG4C
Q96E40,SPACA9
Q96FT7,ASIC4
Q96HR3,MED30
Q96NL1,TMEM74
Q96SQ5,ZNF587
Q99811,PRRX2
Q9BQA9,CYBC1
Q9BXJ8,TMEM120A
Q9C0B6,BRINP2
Q9GZN6,SLC6A16
Q9H063,MAF1
Q9H1J5,WNT8A
Q9H6L5,RETREG1
Q9H6V9,LDAH
Q9HCJ3,RAVER2
Q9NNZ3,DNAJC4
Q9NPH6,OBP2B
Q9NRR3,CDC42SE2
Q9NX62,BPNT2
Q9NZ43,USE1
Q9P032,NDUFAF4
Q9UBX0,HESX1
Q9UGI8,TES
Q9UI47,CTNNA3
Q9UKJ5,CHIC2
Q9Y4D8,HECTD4
Q9Y547,IFT25
Q9Y646,CPQ
X6R8D5,CIMIP3
A0A0B4J244,TRAV3
A6NFU8,PGPEP1L
A8MXZ3,KRTAP9-1
B0YJ81,HACD1
O14556,GAPDHS
O43610,SPRY3
O60264,SMARCA5
O60462,NRP2
O75596,CLEC3A
O95935,TBX18
P00813,ADA
P04792,HSPB1
P06310,IGKV2-30
P07333,CSF1R
P0DJI8,SAA1
P0DMB2,C8orf88
P0DPH7,TUBA3C
P10275,AR
P17538,CTRB1
P17947,SPI1
P25311,AZGP1
P35555,FBN1
P41235,HNF4A
P47874,OMP
P48551,IFNAR2
P49848,TAF6
P50395,GDI2
P55085,F2RL1
P55822,SH3BGR
P63121,HERVK_113
Q07021,C1QBP
Q07283,TCHH
Q13426,XRCC4
Q13555,CAMK2G
Q14112,NID2
Q14416,GRM2
Q14558,PRPSAP1
Q15797,SMAD1
Q16629,SRSF7
Q17RY6,LY6K
Q2M3G0,ABCB5
Q5JR98,DYNLT4
Q5ST30,VARS2
Q5SZD1,C6orf141
Q5VWZ2,LYPLAL1
Q68CQ4,UTP25
Q6JVE5,LCN12
Q6L8H1,KRTAP5-4
Q6P988,NOTUM
Q6UWD8,C16orf54
Q6ZWH5,NEK10
Q7Z3S7,CACNA2D4
Q8IUB3,WFDC10B
Q8IYK4,COLGALT2
Q8IYR0,CFAP206
Q8N4S0,CCDC82
Q8N695,SLC5A8
Q8N7X8,SIGLECL1
Q8NGA2,OR7A2P
Q8NGZ9,OR2T10
Q8NHC7,OR14C36
Q8TB22,SPATA20
Q8TC41,RNF217
Q8TDX9,PKD1L1
Q8TF63,DCANP1
Q92551,IP6K1
Q969Q5,RAB24
Q96AC1,FERMT2
Q96AJ9,VTI1A
Q96C24,SYTL4
Q96CM3,RPUSD4
Q96EV8,DTNBP1
Q96JZ2,HSH2D
Q96MC4,CEP295NL
Q96P66,GPR101
Q96PD4,IL17F
Q96QC0,PPP1R10
Q96R05,RBP7
Q96TA2,YME1L1
Q99217,AMELX
Q9BR26,OCSTAMP
Q9BRJ9,MESP1
Q9BTK6,PAGR1
Q9BV81,EMC6
Q9BYQ7,KRTAP4-1
Q9BYQ9,KRTAP4-8
Q9C0K1,SLC39A8
Q9H3H3,C11orf68
Q9NXL9,MCM9
Q9NXW2,DNAJB12
Q9P242,NYAP2
Q9P2E5,CHPF2
Q9UFN0,NIPSNAP3A
Q9ULG3,CFAP92
Q9UNP4,ST3GAL5
Q9Y230,RUVBL2
Q9Y2N7,HIF3A
Q9Y305,ACOT9
Q9Y6A9,SPCS1
A1E959,ODAM
A6NNM3,RIMBP3B
F2Z398,LMO7DN
O00187,MASP2
O15016,TRIM66
O15211,RGL2
O15381,NVL
O43149,ZZEF1
O43395,PRPF3
O43609,SPRY1
O75925,PIAS1
P01009,SERPINA1
P08237,PFKM
P0C645,OR4E1
P0C6T2,OST4
P0C7P4,UQCRFS1P1
P0DI82,TRAPPC2B
P0DJ07,PET100
P0DN87,CGB7
P0DSN6,TAS2R33
P10147,CCL3
P10244,MYBL2
P13500,CCL2
P18283,GPX2
P21754,ZP3
P29474,NOS3
P32754,HPD
P35244,RPA3
P48060,GLIPR1
P49591,SARS1
P51151,RAB9A
P51610,HCFC1
P55197,MLLT10
P55884,EIF3B
Q08AE8,SPIRE1
Q11128,FUT5
Q13608,PEX6
Q13873,BMPR2
Q16186,ADRM1
Q5EG05,CARD16
Q5JUX0,SPIN3
Q68CQ7,GLT8D1
Q6IWH7,ANO7
Q6PL18,ATAD2
Q6TDU7,DNAI7
Q6UX06,OLFM4
Q6UXH9,PAMR1
Q86XP1,DGKH
Q86XP3,DDX42
Q8IU60,DCP2
Q8IWY8,ZSCAN29
Q8IXL7,MSRB3
Q8IYW4,ENTHD1
Q8N2K1,UBE2J2
Q8N474,SFRP1
Q8NA72,POC5
Q8NBM8,PCYOX1L
Q8WUB2,FAM216A
Q8WY41,NANOS1
Q92527,ANKRD7
Q93074,MED12
Q969T3,SNX21
Q96A23,CPNE4
Q96A98,PTH2
Q96AE4,FUBP1
Q96ES6,MFSD3
Q96FW1,OTUB1
Q96LX7,CCDC17
Q96N03,VSTM2L
Q96NM4,TOX2
Q96NU0,CNTNAP3B
Q96RN5,MED15
Q96S55,WRNIP1
Q96T49,PPP1R16B
Q99731,CCL19
Q99829,CPNE1
Q9BT25,HAUS8
Q9BTT6,LRRC1
Q9BZI7,UPF3B
Q9H2F5,EPC1
Q9H773,DCTPP1
Q9HC96,CAPN10
Q9HCC8,GDPD2
Q9NY61,AATF
Q9NYP8,EPCIP
Q9NZ53,PODXL2
Q9UKR0,KLK12
Q9ULX3,NOB1
Q9ULX5,RNF112
Q9Y295,DRG1
Q9Y3C4,TPRKB
Q9Y4X4,KLF12
Q9Y5E6,PCDHB3
Q9Y617,PSAT1
Q9Y664,KPTN
Q9Y6J8,STYXL1
A0A1B0GTS1,HSFX4
A0A1B0GVM5,ETDC
A0A5F9ZHS7,NFILZ
A6NGJ6,TRIM64
A6NHC0,CAPN8
A6NMU1,OR52A4P
B1AK76,SNURFL
B2RV13,CFAP97D1
B5MCY1,TDRD15
C9JG80,NPIPB4
O43704,SULT1B1
O60262,GNG7
O60383,GDF9
O60656,UGT1A9
O94900,TOX
P0C617,OR5AL1
P0DMU9,CT45A10
P17661,DES
P22079,LPO
P22102,GART
P23284,PPIB
P26045,PTPN3
P34130,NTF4
P34810,CD68
P42331,ARHGAP25
P48506,GCLC
P48594,SERPINB4
P48637,GSS
P50281,MMP14
P54219,SLC18A1
P55000,SLURP1
P55084,HADHB
P55769,SNU13
P62854,RPS26
Q01081,U2AF1
Q01201,RELB
Q12792,TWF1
Q12800,TFCP2
Q13255,GRM1
Q15545,TAF7
Q15717,ELAVL1
Q16473,TNXA
Q16553,LY6E
Q16587,ZNF74
Q2V2M9,FHOD3
Q5VWQ8,DAB2IP
Q695T7,SLC6A19
Q6A163,KRT39
Q6B0I6,KDM4D
Q6GPH4,XAF1
Q6NTF7,APOBEC3H
Q6ZMG9,CERS6
Q7Z2W7,TRPM8
Q7Z5Q5,POLN
Q86SF2,GALNT7
Q86TJ2,TADA2B
Q86XK3,SFR1
Q8IUZ5,PHYKPL
Q8IWL2,SFTPA1
Q8IYJ0,PIANP
Q8N2H3,PYROXD2
Q8N434,SVOPL
Q8NBI3,DRAXIN
Q8NGF8,OR4B1
Q8NGX3,OR10T2
Q8TCZ2,CD99L2
Q8WUE5,CT55
Q8WXD9,CASKIN1
Q8WYP5,AHCTF1
Q92523,CPT1B
Q92698,RAD54L
Q92797,SYMPK
Q92832,NELL1
Q969Z4,RELT
Q96C57,CUSTOS
Q96DG6,CMBL
Q96DY7,MTBP
Q96L94,SNX22
Q96P11,NSUN5
Q9BQ15,NABP2
Q9BR77,CCDC77
Q9BRR6,ADPGK
Q9BTW9,TBCD
Q9BXD5,NPL
Q9H0K1,SIK2
Q9H2U2,PPA2
Q9NTN9,SEMA4G
Q9NWS6,FAM118A
Q9NYX4,CALY
Q9P0J6,MRPL36
Q9P2P5,HECW2
Q9UHQ9,CYB5R1
Q9UI33,SCN11A
Q9UKP5,ADAMTS6
Q9UKT7,FBXL3
Q9UL40,ZNF346
Q9UNH6,SNX7
Q9UNZ5,C19orf53
Q9Y4K3,TRAF6
A0A1B0GVM6,C11orf97
A0A2R8Y4L2,HNRNPA1L3
A6NGR9,MROH6
A6NJ88,SAGE2P
A6NL26,OR5B21
A6NLW8,DUXA
O00217,NDUFS8
O00287,RFXAP
O43506,ADAM20
O60294,LCMT2
O75312,ZPR1
O94991,SLITRK5
P0C1S8,WEE2
P13232,IL7
P16989,YBX3
P17014,ZNF12
P19526,FUT1
P22736,NR4A1
P23378,GLDC
P23942,PRPH2
P30307,CDC25C
P36575,ARR3
P42338,PIK3CB
P48048,KCNJ1
P49760,CLK2
P51854,TKTL1
P55042,RRAD
P61009,SPCS3
P62861,FAU
Q00056,HOXA4
Q01085,TIAL1
Q02643,GHRHR
Q08431,MFGE8
Q13153,PAK1
Q14CB8,ARHGAP19
Q15345,LRRC41
Q15555,MAPRE2
Q15768,EFNB3
Q16828,DUSP6
Q4G0N7,FAM229B
Q5GH70,XKR9
Q5JRM2,CXorf66
Q5T7N3,KANK4
Q5TZ20,OR2G6
Q5VTL7,FNDC7
Q5VVX9,UBE2U
Q6NUN9,ZNF746
Q6P995,FAM171B
Q6PDB4,ZNF880
Q6PP77,XKRX
Q6ZMV7,LEKR1
Q6ZTB9,ZNF833P
Q76N32,CEP68
Q7Z6I5,SPATA12
Q86TC9,MYPN
Q86UN3,RTN4RL2
Q86UU5,GGN
Q86YQ2,BPIFA4P
Q8IY95,TMEM192
Q8NAM6,ZSCAN4
Q8NB12,SMYD1
Q8NCL4,GALNT6
Q8NCW5,NAXE
Q8NF37,LPCAT1
Q8NH67,OR52I2
Q8NH76,OR56B4
Q8TAM1,BBS10
Q8TE68,EPS8L1
Q8WZ26,PP6455
Q92834,RPGR
Q93009,USP7
Q96E14,RMI2
Q96GX5,MASTL
Q96LW9,ZSCAN31
Q96QV1,HHIP
Q99525,H4C7
Q99986,VRK1
Q9BUP0,EFHD1
Q9BVJ6,UTP14A
Q9BZC1,CELF4
Q9C0C2,TNKS1BP1
Q9H2M3,BHMT2
Q9H4K7,MTG2
Q9HC44,GPBP1L1
Q9NQG6,MIEF1
Q9NQZ5,STARD7
Q9P000,COMMD9
Q9P107,GMIP
Q9UBV8,PEF1
Q9UDY2,TJP2
Q9UGF7,OR12D3
Q9UGM6,WARS2
Q9UHC6,CNTNAP2
Q9UHF1,EGFL7
Q9UNW9,NOVA2
Q9Y3E0,GOLT1B
Q9Y4B4,RAD54L2
Q9Y5X5,NPFFR2
A0A075B6J2,IGLV2-33
A0A075B6R9,IGKV2D-24
A0A0A0MT94,TRBJ2-2
A0A0B4J265,TRAV26-2
A0A1B0GX78,TRBV12-5
A6NF34,ANTXRL
A6NFA0,SPATA31F3
C9JRZ8,AKR1B15
O00180,KCNK1
O14559,ARHGAP33
O15020,SPTBN2
O60281,ZNF292
O60477,BRINP1
O75362,ZNF217
O75920,SERF1A
O95497,VNN1
O95900,TRUB2
P05165,PCCA
P07478,PRSS2
P07951,TPM2
P0C7M3,SFTA3
P0DMQ5,INAFM2
P10620,MGST1
P11802,CDK4
P12643,BMP2
P14406,COX7A2
P14902,IDO1
P20849,COL9A1
P27708,CAD
P28065,PSMB9
P35475,IDUA
P40306,PSMB10
P43234,CTSO
P49638,TTPA
P53597,SUCLG1
P54868,HMGCS2
P59535,TAS2R40
P62955,CACNG7
Q03403,TFF2
Q13459,MYO9B
Q13620,CUL4B
Q15361,TTF1
Q15653,NFKBIB
Q16621,NFE2
Q17RF5,ODAPH
Q1HG44,DUOXA2
Q24JQ0,TMEM241
Q2M2E5,LINC03122
Q5HYN5,CT45A1
Q5SW24,DACT2
Q5TH69,ARFGEF3
Q6UWN5,LYPD5
Q6X4W1,NSMF
Q6ZN44,UNC5A
Q7L8L6,FASTKD5
Q86UQ8,NFE4
Q86UU1,PHLDB1
Q86UV6,TRIM74
Q86YD3,TMEM25
Q8IWB4,SPATA31A7
Q8IXQ6,PARP9
Q8IZY2,ABCA7
Q8N427,NME8
Q8N5C6,SRBD1
Q8N7M0,DYNLT5
Q8N9V6,ANKRD53
Q8NA42,ZNF383
Q8NB42,ZNF527
Q8NC69,KCTD6
Q8NEA9,GMCL2
Q8NEP9,ZNF555
Q8NEQ5,C1orf162
Q8NFZ8,CADM4
Q8NH07,OR11H2
Q8TDN1,KCNG4
Q8TF66,LRRC15
Q8WU58,FAM222B
Q8WXI9,GATAD2B
Q8WY21,SORCS1
Q92843,BCL2L2
Q96DR4,STARD4
Q96DZ1,ERLEC1
Q99613,EIF3C
Q9BUW7,BBLN
Q9H4M7,PLEKHA4
Q9H4W6,EBF3
Q9H5V8,CDCP1
Q9NQT4,EXOSC5
Q9NQW8,CNGB3
Q9NR80,ARHGEF4
Q9NUP7,TRMT13
Q9NXG2,THUMPD1
Q9NYF8,BCLAF1
Q9NYQ7,CELSR3
Q9UIF8,BAZ2B
Q9UMR5,PPT2
Q9Y2U9,KLHDC2
Q9Y6I4,USP3
Q9Y6X2,PIAS3
A0A075B6K5,IGLV3-9
A0A0D9SF12,CCDC163
O00110,OVOL3
O14511,NRG2
O14732,IMPA2
O14977,AZIN1
O15126,SCAMP1
O43516,WIPF1
O43525,KCNQ3
O75129,ASTN2
O75386,TULP3
O95050,INMT
O95168,NDUFB4
O95294,RASAL1
P02730,SLC4A1
P06276,BCHE
P0CB48,UBTFL6
P10915,HAPLN1
P13984,GTF2F2
P29353,SHC1
P30740,SERPINB1
P36639,NUDT1
P36941,LTBR
P37802,TAGLN2
P39877,PLA2G5
P42830,CXCL5
P46092,CCR10
P47914,RPL29
P51793,CLCN4
P58062,SPINK7
P59922,OR2B8
P61019,RAB2A
P61326,MAGOH
P63316,TNNC1
P78504,JAG1
Q00613,HSF1
Q07002,CDK18
Q10469,MGAT2
Q13133,NR1H3
Q15418,RPS6KA1
Q15526,SURF1
Q15622,OR7A5
Q15637,SF1
Q15784,NEUROD2
Q16520,BATF
Q3ZCQ2,ANXA2R
Q52LD8,RFTN2
Q5JNZ5,RPS26P11
Q6DN72,FCRL6
Q6NUT2,DPY19L2
Q6NXS1,PPP1R2B
Q6P1K8,GTF2H2C
Q6P4H8,ATPSCKMT
Q6RVD6,SPATA8
Q6UX72,B3GNT9
Q7L4I2,RSRC2
Q86UK7,ZNF598
Q86W92,PPFIBP1
Q86X45,DNAAF11
Q86Y25,ZNF354C
Q86Y33,CDC20B
Q86YW9,MED12L
Q8IVL1,NAV2
Q8IVL5,P3H2
Q8IYB8,SUPV3L1
Q8IZE3,SCYL3
Q8N6N7,ACBD7
Q8NAJ2,LINC02913
Q8NGF9,OR4X2
Q8NGJ5,OR51L1
Q8NH79,OR6X1
Q8TAM2,TTC8
Q8TEP8,CEP192
Q8WTZ4,CA5BP1
Q8WV99,ZFAND2B
Q8WXC3,PYDC1
Q92581,SLC9A6
Q96GC9,VMP1
Q96NR3,PTCHD1
Q96NR7,WWC2-AS2
Q96QA5,GSDMA
Q9BXT8,RNF17
Q9BYD3,MRPL4
Q9BYD9,ACTRT3
Q9BYE2,TMPRSS13
Q9BZ11,ADAM33
Q9BZD6,PRRG4
Q9H3M0,KCNF1
Q9H488,POFUT1
Q9HBJ7,USP29
Q9NRJ2,GSN-AS1
Q9NWF4,SLC52A1
Q9P126,CLEC1B
Q9UKR8,TSPAN16
Q9ULW5,RAB26
Q9Y272,RASD1
Q9Y4K4,MAP4K5
A0A087WV53,SPEGNB
A0A1B0GVG6,TEX54
A6NKD9,CCDC85C
C9J3V5,TEX22
D3W0D1,KLRF2
O00744,WNT10B
O15294,OGT
O43583,DENR
O60928,KCNJ13
O75155,CAND2
O75688,PPM1B
O94777,DPM2
P01718,IGLV3-27
P01732,CD8A
P02765,AHSG
P0C672,TSPAN19
P10074,ZBTB48
P11509,CYP2A6
P12931,SRC
P12980,LYL1
P18124,RPL7
P22531,SPRR2E
P23497,SP100
P32246,CCR1
P35716,SOX11
P36222,CHI3L1
P38935,IGHMBP2
P53675,CLTCL1
P58557,YBEY
P78346,RPP30
P98088,MUC5AC
Q00535,CDK5
Q13823,GNL2
Q13939,CCIN
Q14184,DOC2B
Q15018,ABRAXAS2
Q49B96,COX19
Q4LDG9,DNAL1
Q562E7,WDR81
Q5JST6,EFHC2
Q5JUW0,KRBOX4
Q5T5J6,SWT1
Q5T9C2,EEIG1
Q5VXT5,SYPL2
Q676U5,ATG16L1
Q6GPH6,ITPRIPL1
Q6PCB8,EMB
Q6PEY2,TUBA3E
Q6TFL4,KLHL24
Q6UE05,TMEM270
Q6UX39,AMTN
Q6ZT21,TMPPE
Q7Z7H5,TMED4
Q86T65,DAAM2
Q8IY33,MICALL2
Q8IYU8,MICU2
Q8IZL9,CDK20
Q8N148,OR6V1
Q8N4X5,AFAP1L2
Q8NBP7,PCSK9
Q8NDV7,TNRC6A
Q8NFT6,DBF4B
Q8NGH5,OR56A1
Q8NHS1,CLDND2
Q8TBR5,CIRBP-AS1
Q8TCB0,IFI44
Q8TDN6,BRIX1
Q8TDS4,HCAR2
Q8TE02,ELP5
Q96B42,TMEM18
Q96BN2,TADA1
Q96BT7,ALKBH8
Q96EN8,MOCOS
Q96GZ6,SLC41A3
Q96I82,KAZALD1
Q96LY2,CCDC74B
Q96NL8,CFAP418
Q96PQ7,KLHL5
Q99929,ASCL2
Q9BT04,FUZ
Q9BU61,NDUFAF3
Q9BY60,GABARAPL3
Q9H0C8,ILKAP
Q9H2A7,CXCL16
Q9HB14,KCNK13
Q9HB21,PLEKHA1
Q9HBL6,LRTM1
Q9NP73,ALG13
Q9NTX5,ECHDC1
Q9NYS0,NKIRAS1
Q9NYY8,FASTKD2
Q9NZJ5,EIF2AK3
Q9NZL4,HSPBP1
Q9NZM3,ITSN2
Q9UJU3,ZNF112
Q9Y215,COLQ
Q9Y219,JAG2
Q9Y371,SH3GLB1
Q9Y5K2,KLK4
A0A0B4J1U7,IGHV6-1
A4D263,SPMIP7
A6NDE8,GAGE12H
A6NDX4,N/A
