Accession,Gene Symbol
O88441,Mtx2
P02469,Lamb1
P12657,Chrm1
P17532,Tph1
P19253,Rpl13a
P20782,Chrne
P27792,Lyl1
P27812,Klrb1b
P41272,Cd27
P42580,Nkx1-2
P43028,Gdf6
P50637,Tspo
P58064,Mrps6
P59096,Stard6
P70385,Hsd17b3
P70663,Sparcl1
Q05A36,Mex3c
Q14DK5,Hhipl1
Q1H9T6,Zbtb48
Q3TQI7,N/A
Q3U3N6,Tepsin
Q3UBG2,Pid1
Q3UN02,Lclat1
Q3UVV9,Vwa3a
Q3V3I2,Gnat3
Q4KL20,Obox7
Q571C7,Bdp1
Q571F8,Gls2
Q587J6,L1td1
Q5SQX6,Cyfip2
Q5SS80,Dhrs13
Q6P5G0,Mapk4
Q6TL19,Gucy2g
Q6VZZ7,Opn5
Q7M715,Tas2r117
Q7TR87,Or5m8
Q80SV1,Lhfpl1
Q80W65,Pcsk9
Q8BJD1,Itih5
Q8BK06,Fbxo9
Q8BLD6,Ankrd55
Q8BLI4,Dse
Q8BU47,Ftdc2
Q8CDB0,Mknk2
Q8CF66,Lamtor4
Q8CHG5,Arel1
Q8K327,Champ1
Q8R0H9,Gga1
Q8R310,Tmcc3
Q8VD66,Abhd4
Q8VF55,Or10v1
Q8VFV9,Or5b106
Q91WF7,Fig4
Q91XY3,Pcdhga5
Q91ZX1,Cd209a
Q920I9,Wdr7
Q922L6,Nelfcd
Q924H5,Rad51c
Q99J55,Ier5l
Q99P21,Mutyh
Q9CQL2,Ccer1
Q9CQP2,Trappc2
Q9CR76,Tmem186
Q9CWB5,Pgpep1l
Q9D7R7,Pgc
Q9DC16,Ergic1
Q9DC48,Cdc40
Q9DCT1,Akr1e2
Q9ER75,Irx6
Q9JHX6,Allc
Q9JIS5,Sv2a
Q9JJX7,Tdp2
Q9JK91,Mlh1
Q9JMD1,Sfmbt1
Q9JMI0,Ecel1
Q9WU42,Ncor2
Q9Z0D9,Cx3cr1
Q9Z223,Mocs2
A0A087WPA9,Scgb2b18
A0A0N4SW31,Mmp24os1
A0A140T8U3,Vmn2r130
A0A571BEV2,Ccdc168
A2A4M2,Krtap9-21
A2A4U6,Zfp334
A2A590,Krtap1-5
A2A7S8,Nhsl3
A2AAJ9,Obscn
A2AF47,Dock11
A2AMT6,Vmn1r2
A2BEJ1,Msantd5f9
B1AWJ5,Tmem8b
D3YWE6,Mn1
E9PW18,Vmn1r257
E9PXC9,Nxpe5
E9PYY6,Mfsd4b5
E9Q349,Wdr25
F7CNM6,1700056E22Rik
O08638,Myh11
O54788,Dffb
O54910,Nfkbie
O88609,Lmx1b
P09092,Hoxa6
P13707,Gpd1
P28474,Adh5
P42669,Pura
P49222,Epb42
P55105,Bmp8b
P58544,Btbd1
Q38HM4,Trim63
Q3U0I6,Erln
Q3UHG7,Dennd11
Q3UL33,Pramel55
Q3UN90,Lyrm9
Q3UR78,Nicol1
Q3V2J0,Cibar2
Q402B2,Wdr93
Q505D9,Trim67
Q50H33,Kctd8
Q5GIG6,Tnni3k
Q5SSG5,Rasl10b
Q5U405,Tmprss13
Q60749,Khdrbs1
Q61036,Pak3
Q62036,Cep131
Q62066,Phox2a
Q66JY2,Ino80d
Q69AB2,Txndc8
Q6P1Y8,Inpp4b
Q6P8X9,Cfap126
Q6PD31,Trak1
Q6SKR2,Hemk2
Q6TAC4,Vmn2r26
Q7TPD6,Raver2
Q7TQA1,Igsf1
Q7TQV3,Or2bd2
Q7TQW6,Or4f62
Q7TRG7,Or7g20
Q7TS68,Nsun6
Q80ST9,Lca5
Q80V85,Trim62
Q80WC7,Agfg2
Q80XH4,Wscd1
Q80XI7,Bpifb9a
Q80Y17,Llgl1
Q810F8,Tbx10
Q8BGY4,Klhl26
Q8BH49,Pheta1
Q8BHJ5,Tbl1xr1
Q8BVD2,Cyp2d12
Q8CB77,Eloa
Q8CD78,Sertm1
Q8CIM8,Ints4
Q8K083,Znf536
Q8R4E6,Purg
Q8VCH6,Dhcr24
Q8VFA1,Or1o11
Q8VGM1,Or13a17
Q8VII3,Cstdc1
Q91Y63,Slc13a3
Q91YQ3,Csdc2
Q922K7,Nop2
Q99PP7,Trim33
Q9CPT3,Nanp
Q9CXK8,Nip7
Q9CXT6,Kdm8
Q9CXX0,Hyls1
Q9D270,Zdhhc21
Q9D2H6,Sp2
Q9D2N8,Galnt15
Q9D3S9,Cpvl
Q9D7N2,Krtap26-1
Q9D9P8,Llcfc1
Q9DBW0,Cyp4v2
Q9ESQ8,Npvf
Q9JLY7,Dusp14
Q9JLZ8,Sigirr
Q9QUP5,Hapln1
Q9Z2G9,Htatip2
A0A0A6YVS4,Ighv5-9-1
A0A0G2JGF9,Igkv12-98
A0A140LJ72,Muc16
A0A1B0GT64,Zfp873
A0A1Y7VIM3,A030003K21Rik
A2AGT5,Ckap5
B2RVL1,Kcnk15
D3YXS5,Kif28
G3UW56,Vmn2r85
G5E8C1,Vmn1r67
H3BK29,Vmn2r6
J3QM92,Plscr5
K7N6W9,Vmn1r170
O09102,Gcm2
O35385,Ppef2
O35484,Azin1
O35684,Serpini1
P15388,Kcnc1
P20693,Fcer2
P20826,Kitlg
P33587,Proc
P36898,Bmpr1b
P47856,Gfpt1
P70314,Pitx1
P86546,Bglap
Q00690,Sele
Q08501,Prlr
Q08EE8,Acsbg3
Q2EMV9,Parp14
Q3UF25,Stimate
Q3UL49,Gm16367
Q3URD3,Slmap
Q3UTS8,Spink13
Q4QQM5,Miga1
Q4VAE3,Tmem65
Q60872,Eif1a
Q61508,Ecm1
Q61817,Creb3
Q68ED3,Tent4b
Q6P1F6,Ppp2r2a
Q6PE87,Cfap206
Q6PHB0,Il20ra
Q6XAR7,Ssxb10
Q7M756,Prss54
Q7TQX5,Or4k49
Q7TRA6,Or8g4
Q80TE7,Lrrc7
Q80TF3,Pcdh19
Q80XI4,Pip4k2b
Q80YA7,Dpp8
Q80YQ8,Rmnd5a
Q8BIY3,Zc3h12d
Q8BK03,Miga2
Q8BQN5,Fam78b
Q8BYH0,Drgx
Q8BZ09,Slc25a21
Q8BZN4,Nuak2
Q8CHQ9,Nat8f2
Q8K0T2,Dync2li1
Q8K0U4,Hspa12a
Q8K2B3,Sdha
Q8K4L6,Mepe
Q8R0Z2,Enox2
Q8R4D5,Trpm8
Q8R4Z4,Etv3
Q8VCC1,Hpgd
Q8VFU9,Or4z4
Q91W98,Slc15a4
Q91WG2,Rabep2
Q91WG8,Gne
Q91WW4,Mrgpra2b
Q91X20,Ash2l
Q922E6,Fastkd2
Q924X2,Cpt1b
Q99JP0,Map4k3
Q99L28,Rsl24d1
Q99MS3,Mpv17l
Q9CPR7,Sike1
Q9CR59,Gadd45gip1
Q9CR70,Lage3
Q9CV60,Mrln
Q9CX62,Inka1
Q9CXP4,Arhgap8
Q9CZD3,Gars1
Q9D2F5,Stpg1
Q9D338,Mrpl19
Q9D4A5,N/A
Q9D9H2,Cldnd2
Q9DAF1,1700012A03Rik
Q9DC63,Fbxo3
Q9ER64,Osbpl5
Q9ESP1,Sdf2l1
Q9JI33,Ntn4
Q9JIN6,Kcnmb4
Q9JJ93,MNCb-2990
Q9JL06,Lpar2
Q9QXC1,Fetub
Q9QYB1,Clic4
Q9WU60,Atrn
Q9WVH3,Foxo4
A2A7A2,Zfp984
A2ARK0,Fam83c
A2ARV7,Gm14401
B5TVM2,Ildr2
C0HKD1,Spata31f1b
E0CXS8,Gm8113
E1AZ71,Cngb1
E5FYH1,Topaz1
E9Q5R7,Nlrp12
E9QA22,Zfp644
G3X931,Vmn2r65
G5E8J1,Or2aj6
H9CWD5,Fdcsp
J3KML0,Dcdc2b
J3QK78,Pramel42
K7N5U4,Gm14496
O08848,RO60
O19443,H2-M10.1
O35235,Tnfsf11
O35298,Aoah
O88393,Tgfbr3
O88455,Dhcr7
O88685,Psmc3
P06796,Csn3
P12660,Pcp2
P17918,Pcna
P22339,Gadd45b
P33610,Prim2
P51827,Aff3
P61965,Wdr5
P63141,Kcna2
P70236,Map2k6
P97411,Ica1
P97770,Thumpd3
Q00288,Pax8
Q03401,Crisp1
Q03740,Cryge
Q3TIU4,Pde12
Q3UMR5,Mcu
Q3UW31,Pate2
Q3UZ39,Lrrfip1
Q3V0Q7,Tmprss12
Q3V1H3,Hephl1
Q497I4,Krt35
Q4ZGD9,Nxf3
Q5ND52,Mrm3
Q61184,Mtnr1a
Q62311,Taf6
Q62414,Neurod2
Q6IE82,Jade3
Q6NWW9,Fndc3b
Q6NZJ6,Eif4g1
Q6PGD2,Zfp866
Q6V4S5,Sdk2
Q80UF4,Sdccag8
Q8BHE0,Prr11
Q8BJM3,R3hcc1l
Q8BNU0,Armc6
Q8BS45,Ift56
Q8BT42,Smim5
Q8BTM9,Rasgrp4
Q8BXZ0,Ctxn3
Q8CEC5,Nkiras1
Q8CJF7,Ahctf1
Q8R2K8,N/A
Q8VC19,Alas1
Q8VEH3,Arl8a
Q8VFC2,Or2j3
Q8VGD9,Or2t48
Q8VID5,Recql5
Q91WS0,Cisd1
Q91YJ2,Snx4
Q920R6,Atp6v0a4
Q922U1,Prpf3
Q922Y1,Ubxn1
Q923Q6,Or14j10
Q925H4,Krtap21-1
Q99JZ7,Errfi1
Q99LC3,Ndufa10
Q9CQI7,Snrpb2
Q9CQS6,Gkn2
Q9CR98,Fam136a
Q9CRB9,Chchd3
Q9CZP5,Bcs1l
Q9D1B9,Mrpl28
Q9D1E4,Cysrt1
Q9D3J3,Bcl2l12
Q9D4G1,Epcip
Q9D4H9,Phf14
Q9D644,Krtap31-1
Q9D720,Nsmce1
Q9DA77,Tex29
Q9EQ91,Or8g27
Q9JJ04,B4galt4
Q9QYT7,Pigq
Q9R098,Hgfac
Q9WUL8,Cited4
Q9WVA8,Npff
Q9WVL4,Grk1
Q9Z0Z4,Heph
A0A087WPV9,1700019A02Rik
A0A0G2JDF5,Trav14d-2
A0A1L1SSS5,Or8b48
A0A2I3BQ22,Or6c200-ps1
A0A5F8MPH8,Tnxb
A0AAG1GPI2,N/A
A2AEI7,Tcp11x2
A7TZF0,Skint3
D3Z0W3,Zfp648
E9Q9Y3,Ccdc7b
J3QN14,Zfp616
J3QQ27,Ccdc191
K7N6J5,Vmn1r127
O08849,Rgs2
O09005,Degs1
O35188,Cx3cl1
O70305,Atxn2
O70556,Sprr2e
O89103,Cd93
P01582,Il1a
P08923,Ltk
P09065,En1
P0CAX8,Tagap1
P10889,Cxcl2
P11369,Pol
P18828,Sdc1
P27600,Gna12
P30355,Alox5ap
P30545,Adra2b
P49025,Cit
P52840,Sult1a1
P61211,Arl1
P99025,Gchfr
Q149C2,Traf3ip1
Q2HJ10,Slc30a2
Q3TDN0,Disp1
Q3U0X6,Zfp217
Q3U515,Vwce
Q3ULW6,Ccdc33
Q505B8,Syce2
Q5EBI0,Slc26a10
Q5FWH3,Grhl3
Q5U4C1,Gprasp1
Q61288,Acvrl1
Q61495,Dsg1a
Q62425,Ndufa4
Q6NZQ4,Paxip1
Q6P1Z5,Pced1a
Q6PHU5,Sort1
Q7TQQ2,Or9i1b
Q7TSD4,Tbata
Q80SU4,Ifna13
Q810J8,Zfyve1
Q812A5,Prr5
Q8BG30,Nelfa
Q8BH79,Ano10
Q8BJN4,Fndc9
Q8BKC5,Ipo5
Q8BNW9,Kbtbd11
Q8BVE3,Atp6v1h
Q8BZ32,Asxl2
Q8C0I1,Agps
Q8C7V3,Utp15
Q8CCG4,Dppa4
Q8CFD4,Snx8
Q8CGW4,Sox30
Q8CI66,Stoml1
Q8CIG0,Depdc1a
Q8K198,Krtap13-1
Q8K330,Ssh3
Q8K4N3,Defb12
Q8R0A5,Tceal3
Q8R422,Cd109
Q8R4P5,Tmc1
Q8VF16,Or12k8
Q8VFF4,Or7g29
Q8VFJ3,Or7g21
Q8VHT7,Gtf3a
Q91V36,Nrbp2
Q91V41,Rab14
Q923Q8,Or14j3
Q99L48,Nmd3
Q9CQ91,Ndufa3
Q9CQQ4,Gemin2
Q9CYH5,Gfod2
Q9CZY2,Tceal8
Q9D2H1,Cox7b2
Q9D6F9,Tubb4a
Q9DAM9,Fank1
Q9EPF6,Or2ag20
Q9EQ16,Cxcr6
Q9JHI5,Ivd
Q9JHL0,Lat2
Q9JI70,Mkks
Q9JLJ4,Elovl2
Q9QX66,Dpf1
Q9QXK2,Rad18
Q9QY61,Irx4
Q9R0H2,Emcn
Q9WU01,Khdrbs2
A0A075B5T6,Ighv10-3
A0A087WQA9,Scgb2b21
A0A0G2JG53,Trdj1
A0A0U1RPR8,Gucy2d
A0A140T8J6,Or10j2
A0A140T8P0,Igkv3-12
A0A140T8T4,Rpl9-ps6
A0AAG1F886,N/A
A6H8H2,Dennd4c
B1B213,H60c
B2RVB9,Tmem243
E9PX34,Vmn2r120
E9Q545,Or52k2
E9Q5K4,Cyp2c23
E9Q6D6,Znf277
E9Q6M3,Zfp995
E9Q8I6,Vmn1r55
E9QAP7,Taf4
F6QVZ8,Or5b116
F8VPJ8,Or52z1
J3KML6,Gm20830
O54751,Crx
O88662,Emp2
P00920,Ca2
P12032,Timp1
P14576,Srp54
P22724,Wnt4
P29387,Gnb4
P35831,Ptpn12
P35917,Flt4
P54103,Dnajc2
P56726,Smo
P58269,Dpf3
P61092,Siah1a
Q0VBI4,Or5w13
Q1EG27,Myo3b
Q3TQQ9,Firrm
Q3UJD6,Usp19
Q3UYC0,Ppm1h
Q3V036,Ccdc27
Q3V0Q6,Spag8
Q497Y9,C130050O18Rik
Q5DW34,Ehmt1
Q5JCS9,B3gnt3
Q5NC59,Or9e1
Q5SPX1,Ccdc157
Q61056,Trpc1
Q61581,Igfbp7
Q62277,Syp
Q64337,Sqstm1
Q64389,Cd52
Q68FD9,Kiaa1549
Q6AZB0,Boc
Q6TDU8,Dnai7
Q76EC5,Chst9
Q7M6W8,Zfp273
Q7TRJ6,Or10al2
Q8BX94,Osbpl2
Q8BZ60,Ston2
Q8C5T8,Cfap263
Q8CDY9,Pcdhb7
Q8K0G8,Esrp2
Q8K0L9,Zbtb20
Q8K119,Pms1
Q8K4B0,Mta1
Q8R379,Gimap7
Q8VCA4,Cyp4f15
Q8VCH5,Rabepk
Q8VD65,Pik3r4
Q8VF87,Or2m12
Q8VGC1,Or10p21
Q8VGE6,Or4k48
Q8VGE8,Or4k47
Q8VGI2,Or1e1c
Q91VM8,Zfp959
Q91XF2,Tm4sf5
Q924H9,Dqx1
Q99J94,Slco1a6
Q99N75,Sval2
Q9CPR4,Rpl17
Q9CRW3,N/A
Q9D0I8,Mrto4
Q9D1C2,Cby1
Q9D3H2,Obp1a
Q9D4V3,Ccdc83
Q9D593,Atp6v1e2
Q9D659,Vsir
Q9DAS9,Gng12
Q9DB77,Uqcrc2
Q9EP95,Retnla
Q9EQ09,Olr1
Q9ERG0,Lima1
Q9ERR8,Znf319
Q9QXS1,Plec
Q9R0M5,Tpk1
Q9R0T8,Ikbke
Q9R224,Bex1
Q9WV69,Dmtn
Q9Z265,Chek2
Q9Z2I9,Sucla2
A0A075B5Q7,Ighv2-6-8
A0A1D5RM98,Gm5485
A0A5K7RLP0,Meiosin
A0AAG1GIT8,N/A
A0ABA7IXF1,N/A
B1AXB9,Tesl1
D3YY49,Lipo2
E9Q816,Cyp2w1
J3QNP9,Fam240a
K7N760,Gm3159
K9J724,Defa36
L7N231,Defa40
O54692,Zw10
O54951,Sema6b
O70404,Vamp8
P01592,Jchain
P26150,Hsd3b3
P27659,Rpl3
P28658,Atxn10
P35292,Rab17
P35561,Kcnj2
P42082,Cd86
P47867,Scg3
P55086,F2rl1
P97324,G6pd2
P97386,Lig3
P97460,Npas2
P97464,Ext1
Q32MW3,Acot10
Q45KJ6,Lin28b
Q497I5,Lce3a
Q4JK59,Tet2
Q5TIS6,Noto
Q60596,Xrcc1
Q61527,Erbb4
Q64176,Ces1e
Q64525,H2bc18
Q64HY3,Sp9
Q69ZK6,Jmjd1c
Q6IRU7,Cep78
Q6NTA4,Rragb
Q6PAJ3,Garem2
Q6PB70,Ano8
Q6PHQ9,Pabpc4
Q6TEK5,Vkorc1l1
Q6VY05,Dnd1
Q6ZPY5,Znf507
Q7M6X9,Zfp455
Q7TMX5,Shq1
Q7TSZ8,Nacc1
Q80TB8,Vat1l
Q80ZV0,Rnaseh2b
Q810M1,Cfap299
Q8BFT2,Haus4
Q8BG16,Slc6a15
Q8BGI1,Rnf24
Q8BLG2,Lpar4
Q8BUH1,Txnl4b
Q8BUV3,Gphn
Q8BW11,Prss58
Q8C854,Myef2
Q8CAE2,Henmt1
Q8CHV6,Tada2a
Q8K2T4,Uqcc3
Q8K448,Abca5
Q8R2B9,Vmn1r59
Q8VCF1,Cant1
Q8VCQ3,Nrbf2
Q8VCT3,Rnpep
Q8VCU0,Angel1
Q8VG44,Or5p53
Q91VC7,Ppp1r14a
Q91WJ8,Fubp1
Q91WR6,Ginm1
Q920C4,Ms4a3
Q920H4,Chrm5
Q99LI7,Cstf3
Q99N03,Ms4a10
Q9CQF8,Mrpl57
Q9CXK4,Slc50a1
Q9CXU1,Med31
Q9CZU3,Mtrex
Q9D979,Chct1
Q9D9S2,Tmem225
Q9DB27,Mcts1
Q9DCC3,Ccdc107
Q9DCM0,Ethe1
Q9EPL6,Mmp1b
Q9EQ45,Vmn1r46
Q9EQY0,Ern1
Q9ES00,Ube4b
Q9ES34,Ube3b
Q9JI99,Sgpp1
Q9JJF6,Efcc1
Q9QUJ7,Acsl4
Q9QXP4,Donson
Q9QZ28,Six6
Q9R0Z9,Dlc1
Q9R1Z7,Pts
Q9Z1Q3,Ly6g6d
A0A087WPC3,Cyp4a29
A0A1B0GRL1,Gm10153
A0A1L1SR98,Or8k41
B2RT33,Or12d2
D3YYU8,Obsl1
E9Q207,Gm8267
E9QA35,Spata31d1a
G3UXC7,Adamtsl3
G3X943,Slc39a2
G3XA45,Vmn2r69
G5E8S3,E230025N22Rik
I6XKQ3,Spdye4c
K7N702,Vmn2r70
O08675,F2rl2
O88196,Ttc3
P06728,Apoa4
P0C673,Igsf11
P11088,Flg
P15975,Usp53
P20863,Gdf1
P22892,Ap1g1
P23188,Furin
P32240,Ptger4
P35979,Rpl12
P56371,Rab4a
P62835,Rap1a
P70428,Ext2
P81183,Ikzf2
P97428,Rgs16
Q04859,Mak
Q04888,Sox10
Q05816,Fabp5
Q08481,Pecam1
Q0VDT2,Znf367
Q0VF22,Ccdc138
Q148W0,Atp8b1
Q14BI5,Myom2
Q3SXC5,Arl14
Q3TA59,Jmjd8
Q3TCH7,Cul4a
Q3TX08,Trmt1
Q3UW43,Spag11b
Q497Z0,Fbxw16
Q4FZE8,Mup22
Q5NC57,Cfap144
Q5R1H8,Trav8d-1
Q60772,Cdkn2c
Q61043,Nin
Q61694,Hsd3b5
Q62070,Pim2
Q62093,Srsf2
Q63870,Col7a1
Q64373,Bcl2l1
Q6P3D0,Nudt16
Q6P8I2,BC061237
Q6ZPZ3,Zc3h4
Q7M6X3,Zfp759
Q7M711,Tas2r113
Q7TPG7,Tafa2
Q7TS58,Clec4b1
Q80V62,Fancd2
Q811C2,Atg4c
Q8BGV7,Kctd13
Q8BM14,Lipk
Q8BMD7,Morc4
Q8BQM7,Smco3
Q8BVU5,Nudt9
Q8CB44,Gramd4
Q8CDJ3,Atg14
Q8CFK6,Dennd1c
Q8R189,Mmd2
Q8R197,Olah
Q8R242,Ctbs
Q8R280,Vmn1r199
Q8R3K3,Ptcd2
Q8VE85,Prelid3a
Q8VFX1,Or5b12
Q91WF3,Adcy4
Q99LW0,Ankrd10
Q99MQ5,Col25a1
Q99NC0,Vgll1
Q9CQR2,Rps21
Q9CQW0,Emc6
Q9CXV0,Isl2
Q9CY58,Serbp1
Q9D1D6,Cthrc1
Q9D281,Fam114a1
Q9D358,Acp1
Q9D3I8,Rhox4a2
Q9D4H7,Lonrf3
Q9D8N1,N/A
Q9D9F7,Speer4b
Q9DAG5,Stpg4
Q9JHF7,Hpgds
Q9JHH5,Cxcl11
Q9JHS3,Lamtor2
Q9JMH9,Myo18a
Q9QZS8,Sh2d3c
Q9WTN3,Srebf1
Q9Z1B8,Phf1
A0A0A6YXY4,Trbj1-4
A0A0G2JEY2,Traj49
A0A0G2JFN0,Traj42
A0A0U1RNJ4,Or1e31
A0A1Y7VKT9,Ubl5b
A0A3B2W3Y6,Esp38
A0A494BB10,Asdurf
A0A9L6KDV6,Gm58920
A2AP83,Fnd3c2
A2ATG2,Or4c108
A2BEI6,Msantd5f7
A2BFZ7,Btbd35f11
A3KGA4,Tceal7
A6H630,Armt1
E9Q2B9,Or9s18
E9Q4J3,Or2z9
O08677,Kng1
O08797,Serpinb9
P00757,Klk1b4
P08101,Fcgr2
P0CG09,C2cd4d
P15920,Atp6v0a2
P21278,Gna11
P21995,Emb
P28660,Nckap1
P55194,Sh3bp1
P56393,Cox7b
P56473,Agrp
P57776,Eef1d
P62806,H4c1
P81270,Erg
P84244,H3-3a
P97318,Dab1
Q03059,Chat
Q05117,Acp5
Q0VBF2,Tmem52b
Q2XU92,Acsbg2
Q3KNJ2,Nhej1
Q3TC46,Patl1
Q3TYX8,Rufy4
Q3TZX8,Nol9
Q3UTA4,Eif1ad10
Q3V3Q7,Pacs2
Q497M6,Bcl2a1b
Q4KML4,Abracl
Q5NCB2,Gm12185
Q5RKS2,Smim7
Q60653,Klra6
Q61085,Rhpn1
Q61409,Pde3b
Q61496,Ddx4
Q64523,H2ac20
Q64685,St6gal1
Q7TPX8,Oog2
Q7TQY0,Or4g7
Q7TQY1,Or4k41
Q7TRH5,Or6c76b
Q80T19,Hamp2
Q80US4,Actr5
Q80Z64,Nanog
Q8BFQ3,Gpr68
Q8BFZ3,Actbl2
Q8BII3,Zfp781a
Q8BJW5,Nol11
Q8BK64,Ahsa1
Q8BM88,Ctso
Q8BW00,Ptrh1
Q8C3I9,Dipk2b
Q8C3X8,Lmf2
Q8C7K6,Pcyox1l
Q8C7T0,Rps23rg1
Q8CBF3,Ephb1
Q8CDU6,Hectd2
Q8K4T1,St8sia6
Q8R1C0,Kcnc4
Q8R5A6,Tbc1d22a
Q8VDM6,Hnrnpul1
Q91VJ4,Stk38
Q91XY5,Pcdhga3
Q99J95,Cdk9
Q99JT1,Gatb
Q99LS0,Ecrg4
Q99N92,Mrpl27
Q99P50,Ghsr
Q9CPP6,Ndufa5
Q9CQJ0,Them5
Q9CRT8,Xpot
Q9DA03,Lyrm7
Q9EQK5,Mvp
Q9ET39,Slamf6
Q9JJZ6,Klf13
Q9JKE2,Trem1
Q9JM55,Tob2
Q9QYI6,Dnajb9
Q9QYX7,Pclo
Q9QZR0,Rnf25
Q9WU81,Slc37a2
Q9Z0H3,Smarcb1
Q9Z0W3,Nup160
Q9Z1R3,Apom
A0A075B5L1,Igkv10-94
A0A075B5X5,Ighv1-66
A0A087WP11,H2al1b
A0A087WS16,Col6a3
A0A140T8N5,Igkv6-23
A0A1L1SSB4,Or10ak14
A0A1Y7VP58,Krtap28-10
A0A338P791,T2
A0A571BG29,Cldn34c2
A0AAQ4VMP9,Gm68747
A0ABA7IW08,1600025M17Rik
A2AB62,Efcab15
A2AEV7,Ccdc120
A2AKQ8,Ift70a2
A2AWP0,Birc7
A2CG49,Kalrn
B2RXC6,Polr3a
B2RY71,Dnai3
D3Z6W3,Rdh8
E9Q0B6,Dnah6
E9Q4R4,Zfp882
G3X9C2,Nccrp1
G5E895,Akr1b10
L7N480,Garin5b
O09039,Sh2b3
O70456,Sfn
O70555,Sprr2d
O88665,Brd7
O89086,Rbm3
O89114,Dnajb5
P08882,Gzmc
P13372,Vpreb1a
P20443,Sag
P21658,Fgf6
P28665,Mug1
P29121,Pcsk4
P31725,S100a9
P38647,Hspa9
P40749,Syt4
P47741,Tnfrsf4
P48453,Ppp3cb
P51175,Ppox
P59328,Wdhd1
P62488,Polr2g
P98154,Dgcr2
Q01063,Pde4d
Q0MW30,Neurl1b
Q14B02,Rnf133
Q3TXS7,Psmd1
Q3U4G3,Xxylt1
Q3UDE2,Ttll12
Q3UHK3,Greb1
Q3UWW6,Gas2l3
Q3V0T4,Itgad
Q3V2J1,Spef1l
Q4G5Y1,Klhdc2
Q4KL25,Lhfpl5
Q60688,Foxd4
Q6KAU7,Plekhg2
Q6NVE3,Spin2c
Q6P4S8,Ints1
Q6TYB5,Fez2
Q6UGQ3,Scgb2b2
Q6XAS3,Ssxb13
Q6ZPI3,Lcor
Q7TN83,Syt16
Q7TQQ6,Or5b121
Q7TR81,Or5al1
Q7TRZ9,Or5af1
Q7TS74,Ckap2l
Q7TSN2,Cd300c2
Q8BH47,Sec22a
Q8BH97,Rcn3
Q8BJ71,Nup93
Q8BJS8,Mtbp
Q8BLJ3,Plcxd3
Q8BMU0,Znf76
Q8C0T5,Sipa1l1
Q8C2Q3,Rbm14
Q8C963,Ccdc159
Q8K3W3,Casc3
Q8R278,Vmn1r213
Q8R2A2,Vmn1r230
Q8VIM9,Irgq
Q91VJ1,Aim2
Q9CR67,Tmem33
Q9CY27,Tecr
Q9D020,Nt5c3a
Q9DB32,Haghl
Q9DBF1,Aldh7a1
Q9DBR0,Akap8
Q9JHB2,Or7a40
Q9JIP7,Slc15a1
Q9JJR9,Nrip3
Q9QZC7,Plekhb2
Q9WUT7,Ccr9
Q9WV02,Rbmx
Q9WVA3,Bub3
Q9Z0S7,Cldn9
S4R2P9,Slc8a3
A0A075B5Z7,Trav5-1
A0A087WSD2,Ms4a14
A0A0A6YVV1,2210017I01Rik
A0A0G2JFS9,Atg4a-ps
A0A1B0GRF0,Sult2a7
A0A1D5RM95,Zfp853
A0A1W2P728,Krtap10-31
A0A3B2WCF4,Gm7072
A0A5F8MPI9,Rapgef1
A0A9L6KDH6,Gm58497
A0AA74KUR0,Gm3739
A2ADY9,Ddi2
A7TZG1,Skint10
B1ASB6,Spocd1
B2B9E1,Triqk
B8JJ69,2310061I04Rik
D3Z7F6,Cyp2t4
E9PY61,Gpr179
E9Q0M4,Or6k6
E9Q711,Lrp3
F7ADI6,Pramex1
G5E829,Atp2b1
O08543,Efna5
O35143,Atp5if1
O54781,Srpk2
O70480,Vamp4
P02772,Afp
P02816,Pip
P11416,Rara
P12400,Ctla2b
P12658,Calb1
P13675,Ssty1
P27931,Il1r2
P35276,Rab3d
P48441,Idua
P50296,Nat3
P57780,Actn4
P62242,Rps8
P70313,Nos3
P70336,Rock2
P98078,Dab2
Q02013,Aqp1
Q02844,Tpsab1
Q05AA6,Drp2
Q08535,Sct
Q0VE29,Samd12
Q3U186,Rars2
Q3UHF3,Mier3
Q3UJ22,Ct45a
Q5FW85,Ecm2
Q5M8M2,Cimap1b
Q5U425,Smim10l3
Q60843,Klf2
Q61161,Map4k2
Q62302,Tex261
Q62413,Epha6
Q64374,Rgn
Q64512,Ptpn13
Q64687,St8sia1
Q6P5H6,Frmd5
Q6PFQ7,Rasa4
Q6VN19,Ranbp10
Q6XAS2,Ssxb5
Q7TMC9,Zfp85
Q7TQU7,Or1i2
Q7TR84,Or8u10
Q7TRX2,Or1a1
Q8BQP9,Rgs7bp
Q8BSF4,Pisd
Q8BTN6,Leng9
Q8BUD0,Gpr4
Q8BUR5,Gm9918
Q8C0S4,Ttc21a
Q8C1R3,N/A
Q8CGQ8,Slc24a4
Q8K0H5,Taf10
Q8K2X2,Rbm48
Q8K4I0,Vmn1r66
Q8VCA8,Scrn2
Q8VGZ2,Or52r1
Q91WD5,Ndufs2
Q91XW9,Pcdhgc5
Q91Y21,Pcdha1
Q91YT2,Rnf185
Q924W7,Dennd2b
Q99J87,Dhx58
Q99MV2,Tex19.1
Q9CY50,Ssr1
Q9CZU6,Cs
Q9D0A3,Arpin
Q9D7M5,Dynap
Q9D9D5,Tmco5a
Q9DA57,Spata25
Q9QUN7,Tlr2
